beta,formula,TC,TD,TC+TD,n_topics
0.2,A (per-term),0.5972574753123221,0.7041666666666667,1.301424141978989,24
0.2,B (group-level),0.5937795166268482,0.717391304347826,1.3111708209746742,23
0.3,A (per-term),0.4408767683303302,1.0,1.4408767683303303,1
0.3,B (group-level),0.5965961623726801,0.68,1.2765961623726803,25
0.4,A (per-term),0.6047759188798904,0.728,1.3327759188798902,25
0.4,B (group-level),0.6055105166820492,0.6928571428571428,1.298367659539192,28
0.5,A (per-term),0.613059770362415,0.725,1.338059770362415,24
0.5,B (group-level),0.6076725883459916,0.7185185185185186,1.3261911068645102,27
0.6,A (per-term),0.6113171760883148,0.7208333333333333,1.3321505094216481,24
0.6,B (group-level),0.5913412216758731,0.664,1.2553412216758733,25
