topic_rank,tc_pubmedbert,tc_baseline
0,0.5098829956867368,0.5613231609419947
1,0.5510717834911156,0.5248189549501294
2,0.6332912223735641,0.5530279796078527
3,0.8392905699397966,0.46081054510926334
4,0.48529711336348075,0.4174552494108733
5,0.7613976341607158,0.7379436891460288
6,0.522911841433303,0.4827610337113887
7,0.6985191628622717,0.6154126684831943
8,0.4606252462441415,0.6823875660923273
9,0.6579114006412639,0.5410369038888921
10,0.7882229707282561,0.6143860807756512
11,0.5015667095159364,0.4340711098000808
12,0.4715380852948686,0.5673973190244255
13,0.5085109380950881,0.7319270217933831
14,0.45871749597383704,0.4906822060356368
15,0.6322694847442377,0.5088672642597548
16,0.5379542025389491,0.5092143935718393
17,0.5971749745772958,0.7226799501926113
18,0.5551353907729071,0.5095317957571863
19,0.719744101887472,0.48246581359840474
20,0.7306355045974262,0.6349384916721601
21,0.8016582268480569,0.7951299568130484
22,0.3491535335024376,0.532894529341187
23,0.5611025376470309,0.5295653772739769
